Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
Department for International Development,87238841212,Nepal Climate Change Support Programme: Building Climate Resilience in Nepal(NCCSP),,"ENVIRONMENT,SCIENCE & TECHNOLOGY", , , , , , , ,10997643.36, , , ,10997643.36
Department for International Development,872381433633,Rural Access Programme Phase III,31/01/2013,LOCAL DEVELOPMENT, , , , , , , , ,54453229.9, , ,54453229.9
Department for International Development,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , ,19179894.18, , , ,3255738.238, ,22435632.42
Department for International Development,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , ,1447003.159,595892,666514.985,7421576.497, , ,10130986.64
Department for International Development,872381436033,"Local Governance and Community Development Programme, Phase II (LGCDP II)",11/12/2013,LOCAL DEVELOPMENT, , , , , , , , , ,114080834.4, ,114080834.4
Department for International Development,8723863211921,Integrated Programme for Strengthening Security and Justice (IP-SSJ),31/12/2014," - HOME
 - WOMEN, CHILDREN & SOCIAL WELFARE", , , , , , , , , , ,51268531.47,51268531.47
Economic Development Cooperation Fund  Korea,8723816144,Chameliya Hydro Electric Project,07/05/2009,ELECTRICITY, , , , ,45000000, , , , , , ,45000000
European Investment Bank,872381712901,Bhaktapur - Baneshwor 132kV Transmission System Project,,ELECTRICITY, , , , , , , ,25360000, , , ,25360000
European Investment Bank,872381714600,Tanahu Hydropower Project,13/03/2013,ENERGY, , , , , , , , ,70000000, , ,70000000
European Union,872383227118,Public Finance Management (PFM) reforms in Nepal,,FINANCIAL REFORM, , , , , , , , , ,13666803.33, ,13666803.33
European Union,8723823120,Disaster Risk Reduction at the National Level in Nepal - DRRNLN,15/11/2007," - MISCELLANEOUS
 - URBAN DEVELOPMENT", , , ,380680, ,774164, , , , , ,1154844
European Union,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , , , , , ,34977740.49, , , , ,34977740.49
European Union,87238841212,Nepal Climate Change Support Programme: Building Climate Resilience in Nepal(NCCSP),,"ENVIRONMENT,SCIENCE & TECHNOLOGY", , , , , , , ,11566913.25, , , ,11566913.25
European Union,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , ,37825059.1, ,84027593, , , ,84469393.21, ,206322045.3
European Union,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , , , , ,10964626.03, , ,10964626.03
Finland,872381652763,Improving Research Capacity of Forest Resource Information Technology  (IRCFRIT),01/01/2010,FOREST, , , , , ,357974, , , , , ,357974
Finland,872381435804,"Rural Water Supply and Sanitation Project in Western Nepal, Completion Phase (RWSSP- WN II)",16/09/2013,LOCAL DEVELOPMENT, , , , , , , , , ,18305718.87, ,18305718.87
Finland,8723897758,Forest Resource Assessment in Nepal,,FOREST, , , , ,6408508.317, , , , ,765700.16, ,7174208.477
Finland,8723897729,Rural Water Supply and Sanitation Project in Western Nepal [RWSSP-WN],01/08/2008,LOCAL DEVELOPMENT, , , ,15292356.19, , , , , , , ,15292356.19
Finland,8723897752,"Strengthening of Environmental Administration and Management at the Local Level [SEAM,N]",01/08/2008,LOCAL DEVELOPMENT, , , ,5516154.452, , , ,4034969.737, , , ,9551124.19
Finland,8723897750,Rural Village Water Resource Management Project Phase- II,21/05/2010,LOCAL DEVELOPMENT, , , , , ,16972592.41, , , , , ,16972592.41
Finland,8723897756,Regional Waste Management Project (RWMP),27/04/2010,LOCAL DEVELOPMENT, , , , , ,5883926.183, , , , , ,5883926.183
Finland,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , ,4030632.809, , , ,4689803.028, , , , ,8720435.837
Finland,8723823125,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),19/07/2009,CONSTITUTIONAL BODIES, , , , , ,573394.495, , , ,277739.202, ,851133.698
Finland,8723893300,Multi Stakeholder Forestry Programme (MSFP),23/01/2012,FOREST, , , , , , , ,13718897.11, , , ,13718897.11
Finland,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , ,21396095.21, , , , , ,21396095.21
Food and Agriculture Organization,87238107706,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,01/05/2009,AGRICULTURE, , , , , ,11813799.62, , , , , ,11813799.62
Food and Agriculture Organization,872381652757,Support to the Development and Piloting of an Open Source Cadastre and Registration (OSCAR) Software Shell,01/01/2011,LAND REFORM & SURVEY, , , , , , ,2900000, , , , ,2900000
Food and Agriculture Organization,872381402778,Urgent Food Security Assistance to Severely Food Insecure Rural Households in Karnali-Bheri Regions of Nepal,,AGRICULTURE, , , , , , , ,796886, , , ,796886
Food and Agriculture Organization,872381402876,ReTA on Ecosystem Based Adaptation in Mountain Ecosystems in Nepal,16/08/2012,FOREST, , , , , , , , ,3372637, , ,3372637
German Development Cooperation (GIZ),8723816219,Federalism Support Programme Phase II,,PEACE AND RECONSTRUCTION, , , , ,1499863.648, , , , , , ,1499863.648
